customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,MonthlyCharges,TotalCharges,Churn
CUST00000,Male,0,Yes,Yes,51,No,No,Month-to-month,49.2,,No
CUST00001,Female,0,No,Yes,3,Yes,No,Month-to-month,79.72,239.16,No
CUST00002,Male,0,Yes,Yes,33,No,DSL,Month-to-month,91.73,3027.09,Yes
CUST00003,Male,0,No,Yes,68,Yes,No,One year,64.74,4402.32,Yes
CUST00004,Male,0,Yes,Yes,32,No,Fiber optic,Two year,107.36,3435.52,No
CUST00005,Female,0,No,Yes,68,No,DSL,Two year,71.7,4875.6,No
CUST00006,Male,0,No,No,37,No,DSL,Month-to-month,34.43,1273.91,No
CUST00007,Male,0,Yes,No,25,No,Fiber optic,Two year,82.23,2055.75,Yes
CUST00008,Male,0,No,Yes,0,Yes,Fiber optic,One year,66.22,0.0,No
CUST00009,Female,0,Yes,Yes,3,No,Fiber optic,Month-to-month,113.57,340.71,No
CUST00010,Male,0,Yes,Yes,38,Yes,No,One year,59.19,2249.22,No
CUST00011,Male,0,Yes,Yes,53,No,DSL,One year,60.29,3195.37,No
CUST00012,Male,1,No,No,32,No,Fiber optic,One year,85.08,2722.56,No
CUST00013,Male,0,No,No,32,Yes,DSL,One year,72.7,2326.4,No
CUST00014,Female,0,Yes,Yes,71,Yes,DSL,One year,57.44,4078.24,No
CUST00015,Male,0,Yes,No,19,No,No,Month-to-month,118.98,2260.62,Yes
CUST00016,Female,0,No,No,15,No,DSL,One year,50.22,753.3,No
CUST00017,Female,1,No,Yes,20,Yes,Fiber optic,Month-to-month,47.75,955.0,No
CUST00018,Female,0,No,Yes,44,No,Fiber optic,Two year,106.44,4683.36,No
CUST00019,Male,1,Yes,Yes,61,Yes,DSL,One year,20.34,1240.74,No
CUST00020,Female,0,Yes,Yes,30,Yes,DSL,One year,40.13,1203.9,No
CUST00021,Male,1,Yes,No,41,Yes,No,Two year,79.04,3240.6400000000003,No
CUST00022,Female,0,Yes,Yes,11,No,Fiber optic,Month-to-month,36.25,398.75,No
CUST00023,Female,0,Yes,No,64,No,Fiber optic,One year,118.58,7589.12,No
CUST00024,Female,0,No,Yes,2,Yes,DSL,Two year,66.42,132.84,No
CUST00025,Female,0,Yes,No,8,Yes,DSL,Two year,79.74,637.92,No
CUST00026,Female,0,No,Yes,50,Yes,DSL,One year,36.04,1802.0,Yes
CUST00027,Female,0,No,Yes,15,Yes,Fiber optic,Month-to-month,48.94,734.0999999999999,No
CUST00028,Female,0,Yes,No,2,No,DSL,Month-to-month,81.46,162.92,No
CUST00029,Female,0,No,No,23,Yes,No,One year,74.96,1724.08,No
CUST00030,Male,0,Yes,No,12,No,No,Two year,98.44,1181.28,Yes
CUST00031,Male,0,No,Yes,1,Yes,DSL,One year,46.92,46.92,Yes
CUST00032,Female,0,Yes,No,70,No,No,Month-to-month,85.35,5974.5,Yes
CUST00033,Female,0,Yes,No,20,No,No,Two year,49.1,982.0,No
CUST00034,Female,0,No,No,18,No,No,One year,78.68,1416.2400000000002,No
CUST00035,Male,0,Yes,No,46,No,No,Two year,80.5,3703.0,No
CUST00036,Female,0,No,No,21,No,No,Month-to-month,32.18,675.78,Yes
CUST00037,Male,0,Yes,No,32,Yes,Fiber optic,Month-to-month,74.86,2395.52,No
CUST00038,Male,0,Yes,No,31,Yes,DSL,Month-to-month,21.19,656.89,Yes
CUST00039,Male,0,Yes,No,63,No,No,One year,70.12,4417.56,No
CUST00040,Male,0,No,No,38,Yes,DSL,Two year,89.75,3410.5,No
CUST00041,Male,0,No,Yes,71,Yes,No,One year,27.28,1936.88,No
CUST00042,Female,0,Yes,Yes,41,Yes,Fiber optic,One year,113.87,4668.67,No
CUST00043,Female,0,No,No,8,Yes,Fiber optic,One year,65.88,527.04,No
CUST00044,Female,1,Yes,Yes,24,Yes,No,One year,113.84,2732.16,No
CUST00045,Female,0,No,Yes,1,Yes,No,Two year,30.74,30.74,No
CUST00046,Female,0,No,No,18,Yes,No,Two year,114.99,2069.8199999999997,Yes
CUST00047,Male,0,Yes,No,19,No,Fiber optic,One year,30.92,587.48,No
CUST00048,Female,0,Yes,No,69,Yes,Fiber optic,One year,66.15,4564.35,Yes
CUST00049,Female,0,Yes,No,16,Yes,DSL,Month-to-month,113.8,1820.8,No
CUST00050,Male,1,Yes,No,67,Yes,Fiber optic,Month-to-month,43.27,2899.09,Yes
CUST00051,Female,0,Yes,No,2,No,No,Two year,23.48,46.96,Yes
CUST00052,Male,0,No,Yes,50,No,DSL,Month-to-month,99.31,4965.5,No
CUST00053,Female,1,No,No,25,Yes,Fiber optic,Two year,79.59,1989.75,No
CUST00054,Male,0,Yes,Yes,55,No,Fiber optic,Two year,71.39,3926.45,No
CUST00055,Female,0,Yes,No,63,No,No,Two year,23.43,1476.09,Yes
CUST00056,Female,0,Yes,No,7,Yes,DSL,Month-to-month,85.32,597.24,Yes
CUST00057,Male,0,No,Yes,36,No,Fiber optic,Month-to-month,37.16,1337.7599999999998,No
CUST00058,Male,0,Yes,No,26,Yes,Fiber optic,Two year,113.12,2941.12,No
CUST00059,Male,1,Yes,No,44,No,No,Two year,88.57,3897.08,No
CUST00060,Male,0,No,Yes,3,Yes,DSL,One year,90.7,272.1,No
CUST00061,Male,0,No,No,36,No,DSL,Two year,43.26,1557.36,No
CUST00062,Male,0,No,Yes,70,Yes,DSL,Two year,108.08,7565.599999999999,No
CUST00063,Male,0,No,No,32,Yes,DSL,One year,73.77,2360.64,No
CUST00064,Male,0,Yes,No,30,No,No,Two year,105.71,3171.2999999999997,No
CUST00065,Female,0,No,Yes,54,Yes,Fiber optic,Two year,47.09,2542.86,Yes
CUST00066,Female,0,No,No,11,Yes,Fiber optic,Two year,95.55,1051.05,Yes
CUST00067,Male,0,Yes,Yes,10,No,DSL,One year,77.46,774.5999999999999,No
CUST00068,Female,0,Yes,Yes,71,Yes,DSL,Month-to-month,24.84,1763.64,Yes
CUST00069,Female,0,Yes,Yes,31,Yes,DSL,Two year,60.53,1876.43,Yes
CUST00070,Female,0,No,No,56,No,Fiber optic,One year,38.39,2149.84,No
CUST00071,Female,0,Yes,No,37,Yes,Fiber optic,Two year,55.92,2069.04,No
CUST00072,Male,0,No,Yes,59,No,DSL,One year,58.34,3442.0600000000004,No
CUST00073,Female,1,No,No,18,Yes,No,Two year,67.49,1214.82,No
CUST00074,Male,0,No,No,55,No,Fiber optic,One year,80.03,4401.65,No
CUST00075,Female,0,Yes,No,13,No,Fiber optic,Month-to-month,77.1,1002.3,No
CUST00076,Female,0,No,Yes,32,Yes,DSL,Month-to-month,23.9,764.8,Yes
CUST00077,Female,0,Yes,No,9,No,No,Month-to-month,95.07,,No
CUST00078,Male,0,Yes,Yes,63,Yes,DSL,Two year,114.92,7239.96,No
CUST00079,Female,0,Yes,No,63,Yes,DSL,One year,54.87,3456.81,No
CUST00080,Male,0,No,No,61,No,No,Two year,37.97,2316.17,No
CUST00081,Female,0,No,Yes,67,Yes,No,Two year,74.0,4958.0,No
CUST00082,Male,0,No,No,42,Yes,No,One year,90.49,3800.58,No
CUST00083,Female,0,Yes,Yes,58,No,Fiber optic,Two year,87.89,5097.62,No
CUST00084,Male,1,No,No,51,Yes,DSL,One year,81.21,4141.71,No
CUST00085,Male,0,No,Yes,18,Yes,Fiber optic,One year,34.62,623.16,No
CUST00086,Female,0,No,No,20,No,No,Month-to-month,103.68,2073.6000000000004,No
CUST00087,Male,0,No,No,21,Yes,Fiber optic,Month-to-month,62.56,1313.76,No
CUST00088,Female,0,No,No,8,Yes,No,Month-to-month,42.15,337.2,No
CUST00089,Female,0,Yes,Yes,8,No,No,One year,28.63,229.04,Yes
CUST00090,Female,0,Yes,Yes,26,Yes,DSL,Month-to-month,61.67,1603.42,Yes
CUST00091,Female,1,Yes,Yes,16,Yes,DSL,One year,81.8,1308.8,No
CUST00092,Female,0,Yes,No,43,No,DSL,Two year,86.54,3721.2200000000003,No
CUST00093,Female,0,No,Yes,44,Yes,Fiber optic,Month-to-month,116.27,5115.88,Yes
CUST00094,Female,0,Yes,Yes,7,Yes,DSL,One year,35.31,,No
CUST00095,Female,0,No,Yes,17,No,No,One year,118.58,2015.86,No
CUST00096,Female,0,Yes,Yes,32,No,DSL,One year,85.47,2735.04,No
CUST00097,Female,0,Yes,Yes,0,Yes,Fiber optic,One year,65.42,0.0,Yes
CUST00098,Female,0,Yes,Yes,5,Yes,DSL,Month-to-month,108.82,544.0999999999999,No
CUST00099,Male,1,No,Yes,40,No,DSL,Month-to-month,89.45,3578.0,No
CUST00100,Male,0,No,Yes,54,Yes,DSL,Month-to-month,54.87,2962.98,No
CUST00101,Female,0,Yes,Yes,4,Yes,Fiber optic,One year,108.41,433.64,Yes
CUST00102,Female,0,No,Yes,58,Yes,No,Two year,86.66,5026.28,No
CUST00103,Female,0,Yes,No,17,No,No,One year,89.88,1527.96,Yes
CUST00104,Female,0,Yes,No,48,Yes,No,Two year,109.64,5262.72,No
CUST00105,Female,0,Yes,Yes,64,Yes,DSL,Month-to-month,64.84,4149.76,Yes
CUST00106,Female,0,No,No,53,No,DSL,One year,85.69,4541.57,No
CUST00107,Female,0,Yes,No,60,No,Fiber optic,One year,94.47,5668.2,Yes
CUST00108,Female,0,Yes,Yes,7,No,No,Month-to-month,65.39,457.73,Yes
CUST00109,Male,0,Yes,Yes,2,Yes,DSL,One year,28.35,56.7,No
CUST00110,Female,1,No,Yes,24,Yes,DSL,Two year,97.14,2331.36,No
CUST00111,Male,0,Yes,No,68,No,DSL,Two year,24.78,,No
CUST00112,Female,0,No,Yes,54,Yes,Fiber optic,Two year,91.79,4956.660000000001,No
CUST00113,Female,0,Yes,No,39,Yes,No,One year,111.09,4332.51,No
CUST00114,Male,0,No,Yes,49,Yes,Fiber optic,One year,54.7,2680.3,Yes
CUST00115,Female,0,Yes,No,32,Yes,No,Two year,30.21,966.72,No
CUST00116,Male,1,Yes,No,17,No,No,One year,43.29,735.93,No
