customerID,TransactionDate,Amount,PaymentMethod
CUST02142,2023-02-16,19.01,Mailed Check
CUST00867,2023-09-23,31.54,Bank Transfer
CUST00090,2023-11-13,77.68,Credit Card
CUST01479,2023-04-21,6.26,Mailed Check
CUST00954,2023-10-28,84.52,Bank Transfer
CUST02431,2023-10-30,7.02,Credit Card
CUST00022,2023-10-06,147.52,Mailed Check
CUST01725,2023-10-19,19.41,Mailed Check
CUST00022,2023-09-09,51.42,Electronic Check
CUST01721,2023-03-17,7.48,Electronic Check
CUST02358,2023-06-24,18.84,Bank Transfer
CUST01440,2023-04-19,31.05,Credit Card
CUST01356,2023-12-06,40.05,Mailed Check
CUST00574,2023-12-02,0.0,Mailed Check
CUST02150,2023-01-14,131.71,Bank Transfer
CUST02547,2023-06-30,0.46,Electronic Check
CUST00827,2023-11-18,89.15,Mailed Check
CUST00188,2023-09-29,38.16,Mailed Check
CUST00459,2023-02-12,44.53,Electronic Check
CUST02236,2023-04-12,14.01,Credit Card
CUST00350,2023-04-23,56.09,Credit Card
CUST00580,2023-07-12,46.23,Electronic Check
CUST02161,2023-01-09,10.76,Mailed Check
CUST02151,2023-05-29,16.32,Electronic Check
CUST00619,2023-12-04,4.15,Credit Card
CUST01531,2023-08-12,4.11,Bank Transfer
CUST01368,2023-04-20,0.83,Bank Transfer
CUST02434,2023-12-20,14.94,Credit Card
CUST02991,2023-03-25,68.3,Credit Card
CUST01801,2023-02-12,22.81,Credit Card
CUST02902,2023-03-07,25.18,Electronic Check
CUST01232,2023-04-19,8.49,Bank Transfer
CUST02530,2023-04-12,51.41,Credit Card
CUST00472,2023-05-15,25.13,Mailed Check
CUST00858,2023-03-27,67.68,Bank Transfer
CUST02989,2023-03-25,81.16,Electronic Check
CUST02440,2023-08-15,52.72,Mailed Check
CUST01712,2023-09-17,19.38,Electronic Check
CUST00515,2023-01-20,42.63,Credit Card
CUST02393,2023-02-04,17.42,Credit Card
CUST01375,2023-12-19,139.93,Credit Card
CUST02588,2023-08-31,87.25,Mailed Check
CUST02094,2023-09-27,40.76,Credit Card
CUST02390,2023-08-11,201.93,Bank Transfer
CUST00542,2023-10-31,47.48,Credit Card
CUST02866,2023-06-07,23.9,Bank Transfer
CUST01059,2023-10-12,6.02,Mailed Check
CUST00756,2023-02-05,47.08,Electronic Check
CUST02398,2023-10-25,118.15,Electronic Check
CUST00187,2023-01-29,120.92,Bank Transfer
CUST02381,2023-09-12,55.67,Mailed Check
CUST00482,2023-05-22,30.0,Bank Transfer
CUST01239,2023-05-14,63.04,Credit Card
CUST01181,2023-05-24,86.16,Credit Card
CUST02714,2023-10-24,31.82,Credit Card
CUST00295,2023-12-07,38.8,Electronic Check
CUST00044,2023-09-02,68.48,Bank Transfer
CUST02542,2023-09-11,125.57,Mailed Check
CUST02042,2023-12-30,93.93,Bank Transfer
CUST00174,2023-01-05,1.36,Bank Transfer
CUST01369,2023-09-23,7.97,Bank Transfer
CUST02103,2023-08-27,114.95,Credit Card
CUST02388,2023-09-07,107.68,Credit Card
CUST01800,2023-10-18,29.54,Bank Transfer
CUST01909,2023-01-31,52.66,Credit Card
CUST01774,2023-04-30,141.77,Electronic Check
CUST01920,2023-03-20,145.52,Credit Card
CUST02261,2023-01-09,91.7,Electronic Check
CUST01522,2023-02-13,14.11,Electronic Check
CUST00757,2023-08-10,78.62,Bank Transfer
CUST01420,2023-05-24,6.39,Bank Transfer
CUST02597,2023-04-30,134.62,Credit Card
CUST00496,2023-02-22,9.69,Mailed Check
CUST02220,2023-03-06,65.14,Bank Transfer
CUST00104,2023-06-25,56.53,Electronic Check
CUST00478,2023-03-11,90.01,Electronic Check
CUST01422,2023-10-29,48.12,Credit Card
CUST02481,2023-05-01,3.68,Electronic Check
CUST02689,2023-07-22,73.42,Bank Transfer
CUST00692,2023-10-16,28.99,Credit Card
CUST02969,2023-06-29,23.16,Credit Card
CUST00193,2023-03-22,287.3,Mailed Check
CUST02890,2023-02-24,53.55,Credit Card
CUST02848,2023-06-28,74.42,Mailed Check
CUST01489,2023-04-08,44.83,Bank Transfer
CUST00058,2023-04-20,88.17,Electronic Check
CUST01886,2023-06-02,83.68,Bank Transfer
CUST00477,2023-05-05,64.23,Credit Card
CUST01126,2023-04-01,365.62,Mailed Check
CUST02580,2023-10-21,36.95,Electronic Check
CUST01968,2023-02-06,73.49,Credit Card
CUST00591,2023-01-05,95.9,Bank Transfer
CUST00838,2023-12-04,28.3,Credit Card
CUST01345,2023-05-30,36.66,Mailed Check
CUST00548,2023-11-12,208.75,Bank Transfer
CUST00220,2023-06-21,1.97,Credit Card
CUST00875,2023-09-19,24.5,Mailed Check
CUST02725,2023-01-27,39.96,Credit Card
CUST01196,2023-02-24,0.09,Mailed Check
CUST02709,2023-11-16,137.63,Credit Card
CUST02731,2023-09-06,20.23,Bank Transfer
CUST00335,2023-09-30,17.88,Bank Transfer
CUST00224,2023-09-16,103.0,Bank Transfer
CUST02918,2023-09-23,19.54,Bank Transfer
CUST02082,2023-07-10,64.31,Bank Transfer
CUST00187,2023-03-04,103.39,Electronic Check
CUST01247,2023-12-11,94.35,Credit Card
CUST02690,2023-12-07,91.38,Bank Transfer
CUST00962,2023-04-14,5.57,Electronic Check
CUST00493,2023-10-15,4.99,Electronic Check
CUST01886,2023-09-16,21.98,Credit Card
CUST00310,2023-06-10,2.2,Mailed Check
CUST02568,2023-06-20,41.64,Credit Card
CUST01604,2023-04-19,30.13,Credit Card
CUST01563,2023-05-20,48.85,Mailed Check
CUST00368,2023-04-03,21.3,Mailed Check
CUST00745,2023-04-13,39.9,Bank Transfer
CUST02078,2023-08-14,24.46,Mailed Check
CUST01255,2023-12-19,13.03,Mailed Check
CUST00997,2023-06-09,62.88,Credit Card
CUST00496,2023-07-14,67.15,Credit Card
CUST01589,2023-11-20,106.05,Credit Card
CUST00963,2023-05-25,124.65,Mailed Check
CUST02004,2023-08-30,73.14,Electronic Check
CUST01198,2023-05-12,69.79,Bank Transfer
CUST02345,2023-04-03,3.5,Credit Card
CUST01814,2023-09-30,6.98,Electronic Check
CUST01388,2023-07-11,100.46,Bank Transfer
CUST01109,2023-01-22,15.91,Credit Card
CUST00576,2023-07-13,26.36,Electronic Check
CUST00053,2023-06-19,9.42,Bank Transfer
CUST00228,2023-01-11,13.03,Credit Card
CUST00778,2023-06-30,89.61,Credit Card
CUST01557,2023-08-20,18.22,Electronic Check
CUST00984,2023-01-29,35.77,Mailed Check
CUST00372,2023-01-20,9.87,Mailed Check
CUST00468,2023-01-05,67.98,Credit Card
CUST02467,2023-02-03,78.18,Electronic Check
CUST01849,2023-05-20,26.94,Mailed Check
CUST00531,2023-01-28,92.16,Mailed Check
CUST01423,2023-04-08,16.46,Mailed Check
CUST01207,2023-09-19,70.64,Electronic Check
CUST00561,2023-09-03,78.55,Electronic Check
CUST00089,2023-01-19,207.77,Bank Transfer
CUST01639,2023-01-12,15.86,Mailed Check
CUST01406,2023-01-25,5.9,Electronic Check
CUST00368,2023-01-13,18.31,Bank Transfer
CUST01292,2023-03-17,7.87,Credit Card
CUST00014,2023-09-16,11.16,Bank Transfer
CUST02391,2023-01-24,24.4,Mailed Check
CUST01218,2023-01-08,32.07,Electronic Check
CUST01945,2023-08-16,140.43,Mailed Check
CUST01059,2023-05-03,13.06,Mailed Check
CUST00916,2023-03-31,214.02,Credit Card
CUST02252,2023-10-28,99.69,Electronic Check
CUST01674,2023-08-12,127.96,Electronic Check
CUST00775,2023-08-12,159.08,Credit Card
CUST01080,2023-09-14,83.96,Electronic Check
CUST01133,2023-01-03,93.29,Bank Transfer
CUST00685,2023-11-17,34.56,Mailed Check
CUST02765,2023-09-28,42.86,Credit Card
CUST00224,2023-11-02,161.72,Credit Card
CUST00063,2023-05-28,28.51,Mailed Check
CUST01787,2023-07-08,2.57,Credit Card
CUST02995,2023-07-06,86.32,Electronic Check
CUST00960,2023-07-07,51.08,Electronic Check
CUST01375,2023-05-04,101.2,Mailed Check
CUST02367,2023-02-06,4.71,Credit Card
CUST00356,2023-05-29,58.25,Bank Transfer
CUST00092,2023-04-16,17.08,Mailed Check
CUST02742,2023-04-13,140.15,Electronic Check
CUST01323,2023-08-20,6.99,Electronic Check
CUST01517,2023-12-21,111.12,Electronic Check
CUST01677,2023-05-26,5.56,Bank Transfer
CUST01412,2023-01-17,1.53,Electronic Check
CUST01634,2023-06-08,16.08,Mailed Check
CUST02481,2023-10-31,24.3,Mailed Check
CUST01125,2023-10-09,59.09,Mailed Check
CUST00840,2023-10-05,8.47,Electronic Check
CUST01401,2023-05-05,34.5,Bank Transfer
CUST01606,2023-06-22,13.71,Bank Transfer
CUST00897,2023-11-16,115.99,Electronic Check
CUST02931,2023-06-12,2.76,Credit Card
CUST02825,2023-07-22,26.4,Credit Card
CUST00491,2023-12-04,59.88,Mailed Check
CUST02860,2023-06-04,146.57,Bank Transfer
CUST01532,2023-11-20,121.49,Electronic Check
CUST02439,2023-09-18,135.34,Bank Transfer
CUST01977,2023-07-05,3.89,Bank Transfer
CUST01798,2023-02-26,110.3,Credit Card
CUST01494,2023-08-05,90.82,Bank Transfer
CUST01351,2023-07-27,139.63,Bank Transfer
CUST02068,2023-07-21,22.4,Electronic Check
CUST01120,2023-03-15,145.67,Electronic Check
CUST01838,2023-03-26,30.91,Bank Transfer
CUST02560,2023-04-30,60.32,Bank Transfer
CUST02955,2023-01-14,33.12,Electronic Check
CUST02762,2023-11-24,33.48,Credit Card
CUST02991,2023-05-09,47.46,Electronic Check
CUST01663,2023-10-09,26.4,Electronic Check
CUST02397,2023-02-18,94.43,Electronic Check
CUST00545,2023-12-25,60.25,Electronic Check
CUST00598,2023-08-30,70.22,Electronic Check
CUST02079,2023-11-18,15.76,Credit Card
CUST02044,2023-02-22,209.55,Mailed Check
CUST00258,2023-09-22,64.76,Electronic Check
CUST00475,2023-03-10,13.18,Electronic Check
CUST02872,2023-02-09,83.3,Credit Card
CUST01905,2023-07-03,11.45,Mailed Check
CUST00919,2023-05-13,3.93,Bank Transfer
CUST02080,2023-02-25,44.99,Credit Card
CUST02946,2023-09-12,48.38,Electronic Check
CUST00387,2023-01-05,12.57,Bank Transfer
CUST01861,2023-03-10,25.7,Credit Card
CUST00797,2023-02-21,174.87,Bank Transfer
CUST02503,2023-11-25,20.13,Credit Card
CUST01617,2023-04-08,10.15,Credit Card
CUST01925,2023-06-10,294.07,Bank Transfer
CUST01815,2023-09-28,21.6,Mailed Check
CUST01627,2023-03-06,68.41,Bank Transfer
CUST02271,2023-11-23,15.8,Bank Transfer
CUST00216,2023-08-31,47.93,Mailed Check
CUST02203,2023-09-19,29.29,Bank Transfer
CUST00788,2023-07-31,195.55,Mailed Check
CUST01543,2023-06-03,34.02,Mailed Check
CUST02083,2023-08-22,52.65,Mailed Check
CUST02683,2023-05-20,173.77,Electronic Check
CUST02056,2023-11-29,271.88,Credit Card
CUST01063,2023-04-25,6.43,Electronic Check
CUST02226,2023-11-29,107.86,Credit Card
CUST01664,2023-05-10,28.89,Electronic Check
CUST02548,2023-06-27,54.21,Mailed Check
CUST00372,2023-04-05,28.2,Electronic Check
CUST00969,2023-11-13,30.76,Credit Card
CUST01689,2023-04-11,10.38,Electronic Check
CUST01447,2023-07-15,51.03,Bank Transfer
CUST00514,2023-10-17,47.47,Bank Transfer
CUST00363,2023-07-27,12.6,Mailed Check
CUST01913,2023-04-05,46.82,Electronic Check
CUST02824,2023-04-13,216.94,Electronic Check
CUST01951,2023-01-08,75.19,Credit Card
CUST01474,2023-05-16,39.35,Credit Card
CUST01539,2023-04-08,148.68,Electronic Check
CUST00773,2023-09-18,51.38,Credit Card
CUST00328,2023-05-27,8.7,Bank Transfer
CUST00793,2023-07-04,47.58,Bank Transfer
CUST00961,2023-08-20,11.98,Mailed Check
CUST02417,2023-04-11,87.53,Bank Transfer
CUST00596,2023-05-27,204.99,Credit Card
CUST01877,2023-07-24,26.85,Credit Card
CUST01410,2023-02-15,34.25,Credit Card
CUST01137,2023-04-14,32.84,Credit Card
CUST00570,2023-12-02,20.15,Electronic Check
CUST01061,2023-08-10,94.85,Electronic Check
CUST01568,2023-04-28,57.7,Electronic Check
CUST00376,2023-01-05,3.97,Electronic Check
CUST02147,2023-07-30,109.51,Bank Transfer
CUST01836,2023-02-24,12.43,Credit Card
CUST02863,2023-01-19,232.23,Bank Transfer
CUST01963,2023-03-29,28.36,Credit Card
CUST02165,2023-09-04,57.5,Electronic Check
CUST02468,2023-04-27,4.86,Bank Transfer
CUST01266,2023-06-19,25.36,Credit Card
CUST00540,2023-05-30,97.28,Electronic Check
CUST01250,2023-10-22,38.91,Mailed Check
CUST01875,2023-07-27,140.98,Credit Card
CUST01236,2023-10-10,51.36,Mailed Check
CUST02977,2023-11-28,158.34,Credit Card
CUST02746,2023-06-23,243.11,Electronic Check
